P1-Win,P1-Lose,P1-Draw,P2-Win,P2-Lose,P2-Draw
0.72,0.23,0.05,0.43,0.53,0.04
0.88,0.02,0.1,0.12,0.85,0.03
0.87,0.08,0.05,0.14,0.83,0.03
0.87,0.05,0.08,0.15,0.76,0.09
0.83,0.06,0.11,0.14,0.82,0.04
0.77,0.09,0.14,0.11,0.87,0.02
0.89,0.03,0.08,0.13,0.83,0.04
0.93,0,0.07,0.12,0.83,0.05
0.88,0.06,0.06,0.19,0.79,0.02
0.81,0.14,0.05,0.15,0.83,0.02
0.92,0.04,0.04,0.17,0.72,0.11
0.88,0.07,0.05,0.11,0.86,0.03
0.9,0.07,0.03,0.26,0.69,0.05
0.91,0.03,0.06,0.34,0.51,0.15
0.9,0.05,0.05,0.33,0.41,0.26
0.91,0.04,0.05,0.38,0.36,0.26
0.85,0.01,0.14,0.5,0.37,0.13
0.91,0.02,0.07,0.49,0.36,0.15
0.87,0.03,0.1,0.42,0.43,0.15
0.91,0.04,0.05,0.59,0.2,0.21
0.87,0.07,0.06,0.53,0.37,0.1
0.96,0.02,0.02,0.54,0.29,0.17
0.96,0.02,0.02,0.57,0.35,0.08
0.93,0.06,0.01,0.52,0.36,0.12
0.97,0.02,0.01,0.59,0.32,0.09
0.93,0.04,0.03,0.54,0.36,0.1
0.96,0.01,0.03,0.58,0.31,0.11
0.96,0.03,0.01,0.54,0.33,0.13
0.95,0.03,0.02,0.61,0.33,0.06
0.97,0,0.03,0.65,0.27,0.08
0.99,0.01,0,0.53,0.37,0.1
0.95,0.03,0.02,0.57,0.27,0.16
0.93,0.04,0.03,0.63,0.23,0.14
0.94,0.03,0.03,0.54,0.35,0.11
0.96,0.02,0.02,0.52,0.41,0.07
0.97,0.01,0.02,0.54,0.42,0.04
0.94,0.03,0.03,0.63,0.33,0.04
0.93,0.02,0.05,0.55,0.38,0.07
0.92,0.05,0.03,0.67,0.3,0.03
0.83,0.12,0.05,0.62,0.28,0.1
0.92,0.06,0.02,0.64,0.33,0.03
0.86,0.1,0.04,0.58,0.39,0.03
0.96,0.02,0.02,0.66,0.31,0.03
0.85,0.13,0.02,0.62,0.28,0.1
0.96,0.03,0.01,0.67,0.24,0.09
0.95,0.05,0,0.66,0.28,0.06
0.96,0.02,0.02,0.66,0.24,0.1
0.97,0.03,0,0.6,0.31,0.09
0.98,0.01,0.01,0.68,0.26,0.06
0.98,0.01,0.01,0.66,0.29,0.05
0.88,0.07,0.05,0.6,0.34,0.06
0.89,0.07,0.04,0.61,0.35,0.04
0.97,0.02,0.01,0.6,0.37,0.03
0.99,0,0.01,0.59,0.37,0.04
0.91,0.02,0.07,0.7,0.23,0.07
0.88,0.08,0.04,0.66,0.31,0.03
0.93,0.02,0.05,0.7,0.26,0.04
0.94,0.01,0.05,0.69,0.22,0.09
0.94,0,0.06,0.61,0.32,0.07
0.91,0.02,0.07,0.55,0.32,0.13
0.93,0.01,0.06,0.66,0.22,0.12
0.89,0.02,0.09,0.65,0.3,0.05
0.93,0.01,0.06,0.69,0.23,0.08
0.95,0,0.05,0.75,0.18,0.07
0.91,0.02,0.07,0.61,0.32,0.07
0.97,0.01,0.02,0.58,0.35,0.07
0.95,0.03,0.02,0.62,0.38,0
0.96,0.01,0.03,0.57,0.36,0.07
0.97,0,0.03,0.63,0.3,0.07
0.95,0.03,0.02,0.56,0.36,0.08
0.98,0,0.02,0.59,0.29,0.12
0.95,0.02,0.03,0.62,0.3,0.08
0.98,0.02,0,0.57,0.35,0.08
0.95,0.02,0.03,0.65,0.31,0.04
0.95,0.03,0.02,0.65,0.31,0.04
0.94,0.03,0.03,0.69,0.28,0.03
0.98,0.02,0,0.57,0.38,0.05
0.97,0.02,0.01,0.64,0.28,0.08
0.95,0.01,0.04,0.71,0.23,0.06
0.98,0.01,0.01,0.72,0.23,0.05
0.98,0.02,0,0.62,0.34,0.04
0.96,0.01,0.03,0.53,0.39,0.08
0.84,0.07,0.09,0.65,0.31,0.04
0.96,0.03,0.01,0.59,0.35,0.06
0.91,0.07,0.02,0.63,0.32,0.05
0.93,0.07,0,0.59,0.28,0.13
0.98,0.02,0,0.69,0.26,0.05
0.81,0.18,0.01,0.6,0.35,0.05
0.91,0.09,0,0.64,0.31,0.05
0.91,0.08,0.01,0.62,0.36,0.02
0.9,0.1,0,0.62,0.32,0.06
0.9,0.07,0.03,0.63,0.33,0.04
0.9,0.07,0.03,0.69,0.28,0.03
0.86,0.12,0.02,0.65,0.32,0.03
0.96,0.03,0.01,0.57,0.39,0.04
0.87,0.13,0,0.59,0.35,0.06
0.91,0.07,0.02,0.68,0.26,0.06
0.9,0.08,0.02,0.66,0.26,0.08
0.86,0.13,0.01,0.69,0.26,0.05
0.95,0.05,0,0.61,0.32,0.07
